Feature,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Accuracy,AUC_ROC
+5.0cd8+3.5cd4-2.0cd11b_gr1,0.840633333,0.807333333,0.804736508,0.7526,0.745,0.715585714,0.783857143,0.776166667
-5.5cd8-5.0cd4+2.5cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
-4.5cd8-4.0cd4+2.0cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
-3.5cd8-3.0cd4+1.5cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
+3.5cd8+3.0cd4-1.5cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
+4.5cd8+4.0cd4-2.0cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
+5.5cd8+5.0cd4-2.5cd11b_gr1,0.8398,0.802166667,0.801392063,0.7524,0.749,0.717119048,0.781904762,0.775583333
+4.5cd8+3.5cd4-2.0cd11b_gr1,0.838966667,0.805666667,0.802984127,0.752066667,0.745,0.71517619,0.782857143,0.775333333
-3.5cd8-1.5cd4+1.0cd11b_gr1,0.865542857,0.789,0.804197403,0.7164,0.761333333,0.704490476,0.777809524,0.775166667
+3.5cd8+1.5cd4-1.0cd11b_gr1,0.865542857,0.789,0.804197403,0.7164,0.761333333,0.704490476,0.777809524,0.775166667
-6.0cd8-4.5cd4+2.5cd11b_gr1,0.8382,0.802666667,0.801011111,0.750066667,0.745,0.714185714,0.780904762,0.773833333
-6.0cd8-5.0cd4+2.5cd11b_gr1,0.8382,0.802166667,0.800630159,0.749733333,0.745,0.713919048,0.780571429,0.773583333
-6.0cd8-4.0cd4+2.5cd11b_gr1,0.837266667,0.809,0.804031746,0.752433333,0.737666667,0.711557143,0.782047619,0.773333333
-3.5cd8-2.5cd4+1.5cd11b_gr1,0.837266667,0.809,0.804031746,0.752433333,0.737666667,0.711557143,0.782047619,0.773333333
+3.5cd8+2.5cd4-1.5cd11b_gr1,0.837266667,0.809,0.804031746,0.752433333,0.737666667,0.711557143,0.782047619,0.773333333
-4.0cd8-0.5cd4+1.0cd11b_gr1,0.880533333,0.721333333,0.772263492,0.6814,0.82,0.723004762,0.761666667,0.770666667
+4.0cd8+0.5cd4-1.0cd11b_gr1,0.880533333,0.721333333,0.772263492,0.6814,0.82,0.723004762,0.761666667,0.770666667
-5.0cd8-1.0cd4+1.5cd11b_gr1,0.878942857,0.748833333,0.787786291,0.664433333,0.792333333,0.702109524,0.766904762,0.770583333
+5.0cd8+1.0cd4-1.5cd11b_gr1,0.878942857,0.748833333,0.787786291,0.664433333,0.792333333,0.702109524,0.766904762,0.770583333
-5.5cd8-2.5cd4+4.5cd11b_gr1,0.855595238,0.777833333,0.795898557,0.691466667,0.76,0.695657143,0.769857143,0.768916667
-4.0cd8-2.0cd4+3.5cd11b_gr1,0.855595238,0.777833333,0.795898557,0.691466667,0.76,0.695657143,0.769857143,0.768916667
+4.0cd8+2.0cd4-3.5cd11b_gr1,0.855595238,0.777833333,0.795898557,0.691466667,0.76,0.695657143,0.769857143,0.768916667
+5.5cd8+2.5cd4-4.5cd11b_gr1,0.855595238,0.777833333,0.795898557,0.691466667,0.76,0.695657143,0.769857143,0.768916667
-5.5cd8-4.0cd4+2.5cd11b_gr1,0.834033333,0.805833333,0.800657143,0.738766667,0.730333333,0.701890476,0.777238095,0.768083333
+5.5cd8+4.0cd4-2.5cd11b_gr1,0.834033333,0.805833333,0.800657143,0.738766667,0.730333333,0.701890476,0.777238095,0.768083333
-5.0cd8-3.0cd4+2.0cd11b_gr1,0.835433333,0.813666667,0.804549206,0.743033333,0.721666667,0.699442857,0.77947619,0.767666667
-2.5cd8-1.5cd4+1.0cd11b_gr1,0.835433333,0.813666667,0.804549206,0.743033333,0.721666667,0.699442857,0.77947619,0.767666667
+2.5cd8+1.5cd4-1.0cd11b_gr1,0.835433333,0.813666667,0.804549206,0.743033333,0.721666667,0.699442857,0.77947619,0.767666667
+5.0cd8+3.0cd4-2.0cd11b_gr1,0.835433333,0.813666667,0.804549206,0.743033333,0.721666667,0.699442857,0.77947619,0.767666667
-4.0cd8-3.0cd4+1.5cd11b_gr1,0.837019048,0.800166667,0.797261472,0.738433333,0.734666667,0.703138095,0.775142857,0.767416667
+4.0cd8+3.0cd4-1.5cd11b_gr1,0.837019048,0.800166667,0.797261472,0.738433333,0.734666667,0.703138095,0.775142857,0.767416667
-5.5cd8-4.0cd4+2.0cd11b_gr1,0.836752381,0.799666667,0.796550361,0.736233333,0.733666667,0.701614286,0.77447619,0.766666667
+5.5cd8+4.0cd4-2.0cd11b_gr1,0.836752381,0.799666667,0.796550361,0.736233333,0.733666667,0.701614286,0.77447619,0.766666667
-3.5cd8-1.5cd4+2.0cd11b_gr1,0.876842857,0.738166667,0.778183117,0.6637,0.790666667,0.695819048,0.759809524,0.764416667
-4.5cd8-3.0cd4+2.0cd11b_gr1,0.829533333,0.807833333,0.799719048,0.7331,0.719333333,0.69422381,0.774904762,0.763583333
+4.5cd8+3.0cd4-2.0cd11b_gr1,0.829533333,0.807833333,0.799719048,0.7331,0.719333333,0.69422381,0.774904762,0.763583333
-5.5cd8-4.5cd4+2.5cd11b_gr1,0.833833333,0.776333333,0.784273016,0.7218,0.745,0.700471429,0.765,0.760666667
+5.5cd8+4.5cd4-2.5cd11b_gr1,0.833833333,0.776333333,0.784273016,0.7218,0.745,0.700471429,0.765,0.760666667
+5.5cd8+5.5cd4-5.0cd11b_gr1,0.795528571,0.879666667,0.821128716,0.785466667,0.639,0.672657143,0.786571429,0.759333333
-5.5cd8-2.0cd4+3.0cd11b_gr1,0.856742857,0.7795,0.794611688,0.680833333,0.738666667,0.678009524,0.765666667,0.759083333
+5.5cd8+2.0cd4-3.0cd11b_gr1,0.856742857,0.7795,0.794611688,0.680833333,0.738666667,0.678009524,0.765666667,0.759083333
-6.0cd8-6.0cd4+3.0cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
-3.0cd8-3.0cd4+1.5cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
+1.0cd8+1.0cd4-0.5cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
+2.0cd8+2.0cd4-1.0cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
+3.0cd8+3.0cd4-1.5cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
+4.0cd8+4.0cd4-2.0cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
+5.0cd8+5.0cd4-2.5cd11b_gr1,0.8344,0.767833333,0.779346032,0.7166,0.749,0.699119048,0.761142857,0.758416667
-5.5cd8-5.5cd4+5.0cd11b_gr1,0.794528571,0.877666667,0.819462049,0.7844,0.639,0.671990476,0.785428571,0.758333333
-5.5cd8-3.0cd4+3.0cd11b_gr1,0.85347619,0.7765,0.792446609,0.6762,0.739666667,0.6783,0.764571429,0.758083333
+5.5cd8+3.0cd4-3.0cd11b_gr1,0.85347619,0.7765,0.792446609,0.6762,0.739666667,0.6783,0.764571429,0.758083333
-4.0cd8-1.0cd4+1.5cd11b_gr1,0.868885714,0.744166667,0.778348773,0.655633333,0.771,0.682547619,0.755809524,0.757583333
+4.0cd8+1.0cd4-1.5cd11b_gr1,0.868885714,0.744166667,0.778348773,0.655633333,0.771,0.682547619,0.755809524,0.757583333
-4.5cd8-0.5cd4+1.0cd11b_gr1,0.88,0.687833333,0.748198413,0.651233333,0.823,0.705214286,0.741428571,0.755416667
+4.5cd8+0.5cd4-1.0cd11b_gr1,0.88,0.687833333,0.748198413,0.651233333,0.823,0.705214286,0.741428571,0.755416667
-5.5cd8-3.0cd4+2.0cd11b_gr1,0.834309524,0.789,0.792337085,0.702166667,0.721666667,0.681647619,0.76452381,0.755333333
+5.5cd8+3.0cd4-2.0cd11b_gr1,0.834309524,0.789,0.792337085,0.702166667,0.721666667,0.681647619,0.76452381,0.755333333
-5.0cd8-5.0cd4+2.5cd11b_gr1,0.832566667,0.761166667,0.773407937,0.713266667,0.749,0.696780952,0.757095238,0.755083333
-4.0cd8-4.0cd4+2.0cd11b_gr1,0.832566667,0.761166667,0.773407937,0.713266667,0.749,0.696780952,0.757095238,0.755083333
-2.0cd8-2.0cd4+1.0cd11b_gr1,0.832566667,0.761166667,0.773407937,0.713266667,0.749,0.696780952,0.757095238,0.755083333
-1.0cd8-1.0cd4+0.5cd11b_gr1,0.832566667,0.761166667,0.773407937,0.713266667,0.749,0.696780952,0.757095238,0.755083333
-6.0cd8-5.5cd4+3.0cd11b_gr1,0.828533333,0.761666667,0.77174127,0.712766667,0.741666667,0.692561905,0.754619048,0.751666667
-5.0cd8-4.5cd4+2.5cd11b_gr1,0.828533333,0.761666667,0.77174127,0.712766667,0.741666667,0.692561905,0.754619048,0.751666667
-4.0cd8-3.5cd4+2.0cd11b_gr1,0.828533333,0.761666667,0.77174127,0.712766667,0.741666667,0.692561905,0.754619048,0.751666667
+4.0cd8+3.5cd4-2.0cd11b_gr1,0.828533333,0.761666667,0.77174127,0.712766667,0.741666667,0.692561905,0.754619048,0.751666667
+5.0cd8+4.5cd4-2.5cd11b_gr1,0.828533333,0.761666667,0.77174127,0.712766667,0.741666667,0.692561905,0.754619048,0.751666667
-2.0cd8-2.0cd4+4.5cd11b_gr1,0.813066667,0.832833333,0.810433333,0.722066667,0.668,0.66784127,0.769619048,0.750416667
+2.0cd8+2.0cd4-4.5cd11b_gr1,0.813066667,0.832833333,0.810433333,0.722066667,0.668,0.66784127,0.769619048,0.750416667
-6.0cd8-1.5cd4+0.5cd11b_gr1,0.901619048,0.633833333,0.716928139,0.6053,0.866,0.695942857,0.721904762,0.749916667
-5.0cd8-2.5cd4+4.5cd11b_gr1,0.852095238,0.740833333,0.770225541,0.652333333,0.758,0.673219048,0.746,0.749416667
+5.0cd8+2.5cd4-4.5cd11b_gr1,0.852095238,0.740833333,0.770225541,0.652333333,0.758,0.673219048,0.746,0.749416667
-2.5cd8-2.0cd4+5.5cd11b_gr1,0.811433333,0.831333333,0.80827619,0.728466667,0.666333333,0.668774603,0.768333333,0.748833333
+2.5cd8+2.0cd4-5.5cd11b_gr1,0.811433333,0.831333333,0.80827619,0.728466667,0.666333333,0.668774603,0.768333333,0.748833333
-6.0cd8-5.0cd4+3.0cd11b_gr1,0.824566667,0.7665,0.772634921,0.706366667,0.729333333,0.683447619,0.753095238,0.747916667
-3.0cd8-2.5cd4+1.5cd11b_gr1,0.824566667,0.7665,0.772634921,0.706366667,0.729333333,0.683447619,0.753095238,0.747916667
+3.0cd8+2.5cd4-1.5cd11b_gr1,0.824566667,0.7665,0.772634921,0.706366667,0.729333333,0.683447619,0.753095238,0.747916667
-6.0cd8-3.0cd4+5.5cd11b_gr1,0.849428571,0.740833333,0.76947316,0.6512,0.754333333,0.671228571,0.744714286,0.747583333
-4.0cd8-2.5cd4+1.5cd11b_gr1,0.818509524,0.811,0.794319625,0.721933333,0.683666667,0.66657619,0.763380952,0.747333333
+4.0cd8+2.5cd4-1.5cd11b_gr1,0.818509524,0.811,0.794319625,0.721933333,0.683666667,0.66657619,0.763380952,0.747333333
-5.5cd8-3.5cd4+2.0cd11b_gr1,0.818109524,0.811,0.794097403,0.721933333,0.682666667,0.665909524,0.763047619,0.746833333
+5.5cd8+3.5cd4-2.0cd11b_gr1,0.818109524,0.811,0.794097403,0.721933333,0.682666667,0.665909524,0.763047619,0.746833333
-5.0cd8-3.5cd4+2.5cd11b_gr1,0.8228,0.772333333,0.775452381,0.702433333,0.719333333,0.677638095,0.753428571,0.745833333
+5.0cd8+3.5cd4-2.5cd11b_gr1,0.8228,0.772333333,0.775452381,0.702433333,0.719333333,0.677638095,0.753428571,0.745833333
-5.5cd8-5.0cd4+3.0cd11b_gr1,0.803066667,0.810666667,0.79092381,0.731966667,0.679,0.672585714,0.761380952,0.744833333
-3.0cd8-1.5cd4+4.0cd11b_gr1,0.848609524,0.7325,0.765764069,0.6439,0.756333333,0.669842857,0.742095238,0.744416667
+3.0cd8+1.5cd4-4.0cd11b_gr1,0.848609524,0.7325,0.765764069,0.6439,0.756333333,0.669842857,0.742095238,0.744416667
-2.5cd8-2.5cd4+5.5cd11b_gr1,0.806433333,0.832833333,0.806712698,0.7194,0.654333333,0.658107937,0.764380952,0.743583333
+2.5cd8+2.5cd4-5.5cd11b_gr1,0.806433333,0.832833333,0.806712698,0.7194,0.654333333,0.658107937,0.764380952,0.743583333
-5.0cd8-2.5cd4+2.0cd11b_gr1,0.844742857,0.756166667,0.773841847,0.667066667,0.730666667,0.664895238,0.747428571,0.743416667
+5.0cd8+2.5cd4-2.0cd11b_gr1,0.843742857,0.756166667,0.773413276,0.6664,0.728666667,0.663695238,0.746761905,0.742416667
-6.0cd8-3.5cd4+2.0cd11b_gr1,0.813442857,0.812666667,0.792360895,0.7216,0.671666667,0.65857619,0.759857143,0.742166667
-5.5cd8-5.5cd4+3.0cd11b_gr1,0.802366667,0.805166667,0.787139683,0.726366667,0.679,0.6697,0.758095238,0.742083333
-4.5cd8-4.5cd4+2.5cd11b_gr1,0.802366667,0.805166667,0.787139683,0.726366667,0.679,0.6697,0.758095238,0.742083333
+4.5cd8+4.5cd4-2.5cd11b_gr1,0.802366667,0.805166667,0.787139683,0.726366667,0.679,0.6697,0.758095238,0.742083333
+5.5cd8+5.5cd4-3.0cd11b_gr1,0.802366667,0.805166667,0.787139683,0.726366667,0.679,0.6697,0.758095238,0.742083333
-4.5cd8-1.0cd4+1.5cd11b_gr1,0.849819048,0.741166667,0.769482107,0.6414,0.741666667,0.663171429,0.742761905,0.741416667
+4.5cd8+1.0cd4-1.5cd11b_gr1,0.849819048,0.741166667,0.769482107,0.6414,0.741666667,0.663171429,0.742761905,0.741416667
-5.5cd8-1.0cd4+1.0cd11b_gr1,0.857333333,0.7015,0.748439683,0.649333333,0.780666667,0.683647619,0.734285714,0.741083333
